Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1573857326.3791168,63955,729,174317520,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007989483270237714,0.00905474770626941,0.014247911831923924,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.6312276245117188,1.5179238525390624,8.374917407226562,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3795478,63956,729,184317490,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004527373853134705,-0.009587379924285258,0.012250541014364496,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.786850732421875,1.1947066284179686,8.690952026367187,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3887184,63957,729,194317610,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0049268480166465905,-0.0268979270098003,0.017044230976507122,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.224213342285156,1.5107412475585937,8.724470849609375,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3989818,63958,729,204317880,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0018642127630554665,-0.02423476591972107,0.019174759848570515,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.9201497314453124,1.3575123413085937,8.544905725097657,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4092472,63959,729,214317520,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0006657902725198095,0.010785802414820914,0.01611212459497939,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.0566192260742184,1.5777788940429687,8.695740429687499,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4191082,63960,729,224317880,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0002663161090079238,0.016245282649483352,0.010652644360316953,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.4109610717773435,1.5370774658203123,8.492233288574218,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4286215,63961,729,234317790,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.006391586616190171,-0.013315805450396189,0.01265001517787638,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.5953145996093747,1.4173673828125,8.437166650390624,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4394915,63962,729,244317500,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.008122641324741676,-0.0195742340120824,0.012117382959860534,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.0350714111328125,1.3814543579101561,8.63109698486328,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4490955,63963,729,254317500,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.006391586616190171,-0.002530003035575276,0.015180018213451656,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.5562310791015623,1.5155296508789062,8.403647827148436,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4591908,63964,729,264317820,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.005060006071150552,0.0346210941710301,0.018508969576050704,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.879448303222656,1.6639701538085936,8.164227661132813,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4819996,63965,729,274317880,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0029294771990871615,0.047404267403410444,0.011717908796348646,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.6767174560546874,1.5155296508789062,8.221688500976562,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4832516,63966,729,284317510,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.007057376888709981,0.011451592687340723,0.005193164125654515,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-3.0909143432617188,1.6352397338867186,8.192958081054687,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.4886305,63967,729,294317800,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.008122641324741676,-0.03422162000751821,0.007856325215733753,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.5953145996093747,1.4221557861328125,8.20971749267578,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
